SchoolId,ProgramName,AwardName,CIP201TITLESHORT
4,Speech Communication and Speech,B.A.,Speech Communication and Rhetoric.
4,Art History,B.A.,"Art History, Criticism and Conservation."
4,Caribbean Studies (Dual Major),B.A.,Caribbean Studies.
4,Religion (Dual Major),B.A.,Religion/Religious Studies.
4,Computers and Programming,Cert. < 30 Credits,Data Processing and Data Processing Technology/Technician.
4,Art,B.F.A.,"Fine/Studio Arts, General."
4,Liberal Studies,M.A.,Liberal Arts and Sciences/Liberal Studies.
4,Achievement in Accounting,Cert. < 30 Credits,Accounting Technology/Technician and Bookkeeping.
4,Early Childhood Education Teacher N-2,B.A.,Elementary Education and Teaching.
4,Theatre,B.F.A.,"Drama and Dramatics/Theatre Arts, General."
4,Sport Management,M.S.,Sport and Fitness Administration/Management.
4,Elementary Educ Bilingual Ed Tchr (1-6),B.A.,Elementary Education and Teaching.
4,Journalism and Media Studies,B.S.,Broadcast Journalism.
4,Television Production,M.F.A.,Radio and Television.
4,Business Management,B.S.,"Business Administration and Management, General."
4,Communication Sciences and Disorders,B.A.,Audiology/Audiologist and Speech-Language Pathology/Pathologist.
4,Early Childhood Education N-2,M.S. in Ed.,Elementary Education and Teaching.
4,Health and Nutrition Sciences,B.A.,"Dietetics and Clinical Nutrition Services, Other."
4,Health and Nutrition Sciences,B.S.,"Dietetics and Clinical Nutrition Services, Other."
4,Nutrition,M.S.,"Foods, Nutrition, and Wellness Studies, General."
4,Health Informatics,M.S.,Medical Informatics.
4,Creative Writing,B.F.A.,Creative Writing.
4,Film Production,Cert. >= 30 Credits,Cinematography and Film/Video Production.
4,Music - Composition,M.M.,Music Theory and Composition.
4,Music - Performance,M.M.,"Music Performance, General."
4,Accounting,M.A.,Accounting.
4,Accounting,M.S.,Accounting.
4,Information Systems,M.S.,Information Science/Studies.
4,Exercise and Sport Science,M.S.,Kinesiology and Exercise Science.
4,Experimental Psychology,M.A.,Experimental Psychology.
4,Industrial and Organizational Psychology - Group Processes and Organizational Behavior,M.A.,Industrial and Organizational Psychology.
4,Industrial and Organizational Psychology - Personnel and Human Resources,M.A.,Industrial and Organizational Psychology.
4,Internal Accounting,B.S.,Accounting.
5,Accounting,M.S.,Accountng.
5,Accounting,B.S.,Accountng.
5,African and African Diaspora Studies,B.A.,African and African Diaspora Studies
5,American Studies,B.A.,American Studies.
5,Art - Studio Art,B.A.,Performaing and Creative Arts
5,Art - Photograhy,B.A.,Performaing and Creative Arts
5,Art ,B.F.A.,Performaing and Creative Arts
5,Biochemsitry,B.S.,Biology
5,Biology 7-12,B.S.,Adolencense Education
5,Biology ,B.S.,Biology
5,Biology - General,M.S.,Biology
5,Biology - Biotechnology,M.S.,Biology
5,Business - Accounting ,A.A.S.,Business
5,Business - Finance,A.A.S.,Business
5,Business - Information Systems,A.A.S.,Business
5,Business - International Business,A.A.S.,Business
5,Business - Marketing ,A.A.S.,Business
5,Business - Management,A.A.S.,Business
5,Business Management - Strategic Management,M.S.,Business
5,Business Management - Large-Scale Data Analytics,M.S.,Business
5,Chemistry 7-12,B.S.,Adolencense Education
5,Chemistry ,B.S.,Chemsitry
5,Chemistry ,A.C.S.,Chemsitry
5,Clinical Mental Health Counseling,M.A.,Pyschology 
5,Cinema Studies - Critcal Studies,B.A.,Media and Culture
5,Cinema Studies - Production,B.A.,Media and Culture
5,Communications - Media Studies,B.S.,Media and Culture
5,Communications - Corportate Communications,B.S.,Media and Culture
5,Communications - Design and Digital Media,B.S.,Media and Culture
5,Communications - Journalism,B.S.,Media and Culture
5,Computer Science,B.S.,Computer Science.
5,Computer Science,M.S.,Computer Science.
5,Computer Science - Mathematics,B.S.,Computer Science
5,Computer Technology,A.A.S.,Computer Science and Computer Technology.
5,Drama,B.S.,Performaing and Creative Arts
5,Earth and Environmental Science,B.S.,Earth and Environmental Science
5,Earth Scinece 7-12,B.S.,Adolescence Education
5,Economics,B.A.,Economics
5,Economics,B.S.,Economics
5,Economics - Business,B.S.,Economics
5,Economics - Finance,B.S.,Economics
5,Education - Science in Childhood Education,M.S.E.d.,Early Childhood Education
5,Education - Science in Adolescence Education 7-12,M.S.E.d.,Adolescence Education
5,Education - Science in Special Education Childhood,M.S.E.d.,Early Childhood Education
5,Education - Science in Special Education Adolescence Generalist,M.S.E.d.,Adolescence Education
5,Education - Teaching of English to Speakers of Other Languages,M.S.E.d.,Adolescence Education
5,Eletrical Engineering,B.S.,Engingeering and Enviormental Science
5,Eletrical Engineering,M.E.,Engingeering and Enviormental Science
5,Engineering Science,A.S.,Engingeering and Enviormental Science
5,Engineering Science - Computer Engineering,B.S.,Engingeering and Enviormental Science
5,Engineering Science - Mechanical Engineering,B.S.,Engingeering and Enviormental Science
5,English ,M.A.,English
5,English 7-12,B.A.,Adolescence Education
5,English - Literature,B.A.,English
5,English - Writing,B.A.,English
5,English - Linguistics,B.A.,English
5,English - Dramatic Literature,B.A.,English
5,Enviornmental Science ,M.S.,Enviornmental Sceinces
5,Geography,B.A.,Geography
5,Healthcare Mangement ,M.S.,Pyschology 
5,History,B.A.,History
5,History,M.A.,History
5,History 7-12,B.A.,Adolescence Education
5,Information Systems and Informatics,B.S.,Information Systems and Informatics
5,International Studies,B.A.,International Studies
5,Italian Studies 7-12,B.A.,Adolencense Education
5,Italian Studies ,B.A.,World Languages and Literature
5,Liberal Arts and Sceinces,A.A.,Liberal Arts and Sciences
5,Liberal Arts and Sceinces,A.S.,Liberal Arts and Sciences
5,Liberal Studies,M.A.,Liberal Arts and Sciences
5,Mathematics 7-12,B.S.,Adolescence Education
5,Mathematics ,B.S.,Science and Technology
5,Medical Laboratory Sciences,B.S.,Science and Technology
5,Music,B.A.,Performing and Creative Arts
5,"Music - Classical Performance, Theory, and Literature",B.S.,Performing and Creative Arts
5,Music - Music Technology,B.S.,Performing and Creative Arts
5,Neuroscience,M.A.,Psychology
5,Nursing,A.A.S.,Nursing
5,Nursing,B.S.,Nursing
5,Nursing - Adult-Gerotological Health,M.S.,Nursing
5,Philosophy,B.A.,Philosophy
5,Philosophy and Political Science,B.A.,Philosophy
5,Physics 7-12,B.S.,Adolescence Education
5,Physics ,B.S.,Physics and Astronony
5,Political Science,B.A.,Political Science and Global Affairs
5,Pyschology ,B.A.,Psychology
5,Pyschology ,B.S.,Pyschology 
5,"Scieence, Letters, and Soceity 1-6",B.A.,Childhood Education
5,"Scieence, Letters, and Soceity",B.A.,Childhood Education
5,"Scieence, Letters, and Soceity Birth-2",B.A.,Early Childhood Education.
5,Social Work,B.S.,Social Work
5,Social Work,M.S.W.,Social Work
5,Sociology/Anthropology ,B.A.,Sociology and Anthropology
5,Spanish 7-12,B.A.,Adolescence Education
5,Spanish,B.A.,World Languages and Literature
5,Women's Gender and Sexuality Studies,B.A.,Women's Gender and Sexuality Studies
6,Business Administration,A.A.,"Business Administration and Management, General."
6,Human Services,A.A.,"Human Services, General."
6,Information Technology,A.A.S.,Information Technology.
6,Liberal Arts and Sciences,A.A.,Liberal Arts and Sciences/Liberal Studies.
6,Urban Studies,A.A.,Urban Studies/Affairs.
7,Liberal Arts and Sciences,A.A.,Liberal Arts and Sciences/Liberal Studies.
7,Liberal Arts and Sciences,A.S.,Physical Sciences.
7,Accounting,A.A.S.,Accounting Technology/Technician and Bookkeeping.
7,Office Technology,A.A.S.,"Administrative Assistant and Secretarial Science, General."
7,Dental Hygiene,A.A.S.,Dental Hygiene/Hygienist.
7,Radiologic Technology,A.A.S.,Medical Radiologic Technology/Science - Radiation Therapist.
7,Office Administration and Technology - Medical Office Manager,A.A.S.,Medical/Clinical Assistant.
7,Public Administration,A.A.S.,Public Administration.
7,Early Childhood Education (Online Degree),A.A.S.,Teacher Assistant/Aide.
7,Public Interest Paralegal Studies,A.A.S.,Legal Assistant/Paralegal.
7,Practical Nursing,Cert. >= 30 Credits,Licensed Practical/Vocational Nurse Training.
7,Electrical Engineering Science,A.S.,Electrical and Electronics Engineering
7,Civil Engineering Science,A.S.,"Civil Engineering, General."
7,Community Health,A.S.,Community Health Services/Liaison/Counseling.
7,Community Health,Cert. < 30 Credits,Community Health Services/Liaison/Counseling.
7,Chemical Engineering Science,A.S.,Chemical Engineering.
7,Business Information Systems,Cert. < 30 Credits,"Management Information Systems, General."
7,Mathematics,A.S.,"Mathematics, General."
7,Science for Forensic Science,A.S.,Forensic Science and Technology.
7,Criminal Justice,A.A.,Criminal Justice/Law Enforcement Administration.
7,Digital Music,A.A.S.,Music Technology.
7,Digital Design and Animation,A.A.S.,"Animation, Interactive Technology, Video Graphics and Special Effects."
7,Accounting,A.S.,Accounting Technology/Technician and Bookkeeping.
7,Mechanical Engineering Science,A.S.,Mechanical Engineering.
7,Accounting for Forensic Accounting,A.S.,Accounting.
7,Police Science,A.S.,Criminal Justice/Police Science.
7,Game Design,A.A.S.,Game and Interactive Media Design.
7,Food Studies,A.S.,"Foods, Nutrition, and Wellness Studies, General."
7,Office Assistant,Cert. >= 30 Credits,"Administrative Assistant and Secretarial Science, General."
7,Business Management,A.S.,"Business Administration and Management, General."
7,Nursing,A.A.S.,Registered Nursing/Registered Nurse.
7,Aging and Health Studies,A.A.S.,Adult Development and Aging.
7,Microcomputers for Business,A.A.S.,Data Processing and Data Processing Technology/Technician.
8,Russian Area Studies,M.A.,Russian Studies.
8,Adult-Gerontology Clinical Nurse Specialist,M.S.,Adult Health Nurse/Nursing.
8,English Literature,B.A.,"English Language and Literature, General."
8,Music (25 Credit Major),B.A.,"Music Performance, General."
8,Nursing,B.S.,Registered Nursing/Registered Nurse.
8,Latin and Greek,B.A.,"Classics and Classical Languages, Literatures, and Linguistics, General."
8,Urban Planning,M.U.P.,Urban Studies/Affairs.
8,Jewish Studies,B.A.,Jewish/Judaic Studies.
8,Latin American and Caribbean Studies,B.A.,Latin American Studies.
8,Biological Sciences,M.A.,"Biology/Biological Sciences, General."
8,Biochemistry,M.A.,Biochemistry.
8,Environmental Science Studies,B.A.,Environmental Science.
8,Accounting,B.S.,Accounting.
8,Computer Science,B.A.,Computer Science.
8,Teacher of the Blind and Visually Handicapped,M.S. in Ed.,Education/Teaching of Individuals with Vision Impairments Including Blindness.
8,School Counselor,M.S. in Ed.,Counselor Education/School Counseling and Guidance Services.
8,"Physical Education ""K-12"" Teacher",B.S.,Physical Education Teaching and Coaching.
8,Art,B.F.A.,"Fine/Studio Arts, General."
8,Art History,M.A.,"Art History, Criticism and Conservation."
8,Music,B.A.,"Music Performance, General."
8,"Music Teacher, All Grades",M.A.,Music Teacher Education.
8,Theatre and Film,B.A.,"Drama and Dramatics/Theatre Arts, General."
8,Dance,B.A.,Drama and Dance Teacher Education.
8,Romance Languages,B.A.,"Romance Languages, Literatures, and Linguistics, General."
8,French,B.A.,French Language and Literature.
8,French,M.A.,French Language and Literature.
8,German,B.A.,German Language and Literature.
8,Italian,M.A.,Italian Language and Literature.
8,Italian,B.A.,Italian Language and Literature.
8,Spanish,M.A.,Spanish Language and Literature.
8,Spanish,B.A.,Spanish Language and Literature.
8,Russian,B.A.,Russian Language and Literature.
8,Chinese Language and Literature,B.A.,Chinese Language and Literature.
8,Latin,B.A.,Latin Language and Literature.
8,Greek,B.A.,Ancient/Classical Greek Language and Literature.
8,Hebrew,B.A.,Hebrew Language and Literature.
8,Public Health,B.S.,Public Health Education and Promotion.
8,Speech Language Pathology,M.S.,Audiology/Audiologist and Speech-Language Pathology/Pathologist.
8,Medical Laboratory Science - Biomedical Science,B.S.,Clinical Laboratory Science/Medical Technology/Technologist.
8,Environmental Health Science,B.S.,Environmental Health.
8,English,B.A.,"English Language and Literature, General."
8,English,M.A.,"English Language and Literature, General."
8,English Language Arts,B.A.,"English Language and Literature, General."
8,"Literature, Language, and Theory",M.A.,English Literature (British and Commonwealth).
8,Comparative Literature,B.A.,Comparative Literature.
8,Classical Studies,B.A.,"Classics and Classical Languages, Literatures, and Linguistics, General."
8,Philosophy,B.A.,Philosophy.
8,Religion,B.A.,Religion/Religious Studies.
8,Mathematics,B.A.,"Mathematics, General."
8,Mathematics,M.A.,"Mathematics, General."
8,Statistics,B.A.,"Statistics, General."
8,Physics,B.A.,"Physics, General."
8,Physics,M.A.,"Physics, General."
8,Psychology,B.A.,"Psychology, General."
8,Psychology,M.A.,"Psychology, General."
8,Social Work,M.S.W.,Social Work.
8,Anthropology,B.A.,Anthropology.
8,Anthropology,M.A.,Anthropology.
8,Archaeology (Interdepartmental),B.A.,Archeology.
8,Archaeology,B.A.,Archeology.
8,Economics,B.A.,"Economics, General."
8,Economics,M.A.,"Economics, General."
8,History,B.A.,"History, General."
8,History,M.A.,"History, General."
8,Geography,B.A.,Geography.
8,Political Science,B.A.,"Political Science and Government, General."
8,Sociology,B.A.,Sociology.
8,Social Research,M.S.,Sociology.
8,International Affairs,B.A.,International Relations and Affairs.
8,Africana and Puerto Rican/Latino Studies,B.A.,"Ethnic, Cultural Minority, Gender, and Group Studies, Other."
8,Urban Policy and Leadership,M.S.,Urban Studies/Affairs.
8,Urban Studies,B.A.,Urban Studies/Affairs.
8,Special Honors Program,B.A.,Biological and Physical Sciences.
8,Theatre,M.A.,"Drama and Dramatics/Theatre Arts, General."
8,Music,Mus.B,"Music Performance, General."
8,Adult Nurse Practitioner,M.S.,Adult Health Nurse/Nursing.
8,Creative Writing,M.F.A.,Creative Writing.
8,Teaching of the Blind and Visually Impaired,Adv. Cert. Post Master's,Education/Teaching of Individuals with Vision Impairments Including Blindness.
8,"Literacy Teacher, Birth to Grade 6",M.S. in Ed.,Reading Teacher Education.
8,Teaching English to Speakers of Other Languages,M.A.,Teaching English as a Second or Foreign Language/ESL Language Instructor.
8,"Early Childhood Teacher, Birth to Grade 2",M.S. in Ed.,Early Childhood Education and Teaching.
8,Geographic Information Systems,Adv. Cert. Post Bacc.,Geography.
8,Medical Laboratory Sciences,B.S.,Clinical Laboratory Science/Medical Technology/Technologist.
8,Biological Sciences,B.A.,"Biology/Biological Sciences, General."
8,Teacher of Students with Speech and Language Disabilities,M.S.,Education/Teaching of Individuals with Speech or Language Impairments.
8,"Music Teacher, All Grades (Alternative Transitional B Certification)",M.A.,Music Teacher Education.
8,"Childhood Education, Grades 1-6",M.S. in Ed.,Elementary Education and Teaching.
8,"Childhood Education, Grades 1-6 (Alternative Transitional B Certification)",M.S. in Ed.,Elementary Education and Teaching.
8,"Earth Science Teacher, Grades 7-12",M.A.,Earth Science Teacher Education.
8,"Earth Science Teacher, Grades 7-12 (Alternative Transitional B Certification)",M.A.,Earth Science Teacher Education.
8,"Biology Teacher, Grades 7-12 (Alternative Transitional B Certification)",M.A.,Biology Teacher Education.
8,"Biology Teacher, Grades 7-12",M.A.,Biology Teacher Education.
8,"Chemistry Teacher, Grades 7-12 (Alternative Transitional B Certification)",M.A.,Chemistry Teacher Education.
8,"Chemistry Teacher, Grades 7-12",M.A.,Chemistry Teacher Education.
8,"Physics Teacher, Grades 7-12 (Alternative Transitional B Certification)",M.A.,Physics Teacher Education.
8,"Physics Teacher, Grades 7-12",M.A.,Physics Teacher Education.
8,"Mathematics 1 Teacher, Grades 7-12 (Alternative Transitional B Certification)",M.A.,Mathematics Teacher Education.
8,"Mathematics 1 Teacher, Grades 7-12",M.A.,Mathematics Teacher Education.
8,"Social Studies Teacher, Grades 7-12",M.A.,Social Studies Teacher Education.
8,"English Teacher, Grades 7-12",M.A.,English/Language Arts Teacher Education.
8,"Latin Teacher, Grades 7-12",M.A.,Latin Teacher Education.
8,"Spanish Teacher, Grades 7-12 (Alternative Transitional B Certification)",M.A.,Spanish Language Teacher Education.
8,"Spanish Teacher, Grades 7-12",M.A.,Spanish Language Teacher Education.
8,"Italian Teacher, Grades 7-12",M.A.,Foreign Language Teacher Education.
8,"French Teacher, Grades 7-12",M.A.,French Language Teacher Education.
8,Childhood Education with Bilingual Extension (Spanish/English) (Alternative Transitional B Certification),M.S. in Ed.,Elementary Education and Teaching.
8,Childhood Education with Bilingual Extension (Spanish/English),M.S. in Ed.,Elementary Education and Teaching.
8,Music,B.A.,Music Teacher Education.
8,"Adolescent Education: Mathematics, Grades 7-12",B.A.,Mathematics Teacher Education.
8,"Adolescent Education: Mathematics, Grades 7-12",M.A.,Mathematics Teacher Education.
8,"French Teacher, Grades 7-12",B.A.,French Language and Literature.
8,"Italian Teacher, Grades 7-12",B.A.,Italian Language and Literature.
8,"Spanish Teacher, Grades 7-12",B.A.,Spanish Language and Literature.
8,"Chinese Teacher, Grades 7-12",B.A.,Foreign Language Teacher Education.
8,"English Teacher, Grades 7-12",B.A.,English/Language Arts Teacher Education.
8,"Social Studies and History Teacher, Grades 7-12",B.A.,Social Studies Teacher Education.
8,"Mathematics Teacher, Grades 7-12",B.A.,Mathematics Teacher Education.
8,"Physics Teacher, Grades 7-12",B.A.,Physics Teacher Education.
8,"Chemistry Teacher, Grades 7-12",B.A.,Chemistry Teacher Education.
8,"Biology Teacher, Grades 7-12",B.A.,Biology Teacher Education.
8,"Childhood Education, Grades 1-6 (Quest)",B.A.,Elementary Education and Teaching.
8,"Dance Teacher, Grades Pre-K - 12",B.A.,Drama and Dance Teacher Education.
8,Teacher of the Blind and Visually Impaired,M.S. in Ed.,Education/Teaching of Individuals with Vision Impairments Including Blindness.
8,Teacher of the Deaf and Hearing Impaired,M.S. in Ed.,Education/Teaching of Individuals with Hearing Impairments Including Deafness.
8,Childhood Special Education: Severe/Multiple Disabilities,M.S. in Ed.,Education/Teaching of Individuals in Elementary Special Education Programs.
8,Teacher of Visual Impairment Rehabilitation,M.S. in Ed.,"Special Education and Teaching, General."
8,Childhood Special Education: Learning & Behavioral Disabilities (Alternative Transitional B Certification),M.S. in Ed.,Education/Teaching of Individuals in Elementary Special Education Programs.
8,Childhood Special Education: Learning & Behavioral Disabilities,M.S. in Ed.,Education/Teaching of Individuals in Elementary Special Education Programs.
8,Teacher of the Blind,M.S. in Ed.,Education/Teaching of Individuals with Vision Impairments Including Blindness.
8,Teacher of the Deaf,M.S. in Ed.,Education/Teaching of Individuals with Hearing Impairments Including Deafness.
8,"Special Education Teacher, Grades 1-6",M.S. in Ed.,Education/Teaching of Individuals in Elementary Special Education Programs.
8,Early Childhood Special Education Teacher (Dual Certificate with Annotation),M.S. in Ed.,Education/Teaching of Individuals in Early Childhood Special Education Programs.
8,Early Childhood Special Education Teacher (Alternative Transitional B Certification),M.S. in Ed.,Education/Teaching of Individuals in Early Childhood Special Education Programs.
8,"Social Studies and Geography Teacher, Grades 7-12",B.A.,Social Studies Teacher Education.
8,Integrated Media Arts,M.F.A.,Mass Communication/Media Studies.
8,Early Childhood Special Education Teacher (Severe Disability Annotation),M.S. in Ed.,Education/Teaching of Individuals in Early Childhood Special Education Programs.
8,Early Childhood Education with Bilingual Extension,M.S. in Ed.,Early Childhood Education and Teaching.
8,Statistics and Applied Math,M.A.,Mathematics and Statistics.
8,Childhood Education with Specialization in STEM,M.S. in Ed.,Science Teacher Education/General Science Teacher Education.
8,Adult Gerontology Primary Care NP,M.S.,Geriatric Nurse/Nursing.
8,Chemistry,B.A.,"Chemistry, General."
8,Adolescent Education: Chemistry,M.A.,Chemistry Teacher Education.
8,Psychiatric-Mental Health Nurse Practitioner,M.S.,Psychiatric/Mental Health Nurse/Nursing.
8,Gerontological / Adult Health Nurse Practitioner,M.S.,Geriatric Nurse/Nursing.
8,Public Health Nursing,M.S.,Public Health/Community Nurse/Nursing.
8,Educational Leadership,M.S. in Ed.,Superintendency and Educational System Administration.
8,Educational Leadership (School Building Leadership),Adv. Cert.,"Educational Leadership and Administration, General."
8,Educational Leadership (School Building Leadership),Adv. Cert. Post Master's,"Educational Leadership and Administration, General."
8,Educational Leadership (School Building Leadership),M.S. in Ed.,"Educational Leadership and Administration, General."
8,Psychiatric-Mental Health Nurse Practitioner,Adv. Cert. Post Master's,Psychiatric/Mental Health Nurse/Nursing.
8,Biology,B.A.,"Biology/Biological Sciences, General."
8,Adolescence Education: Biology,M.A.,Biology Teacher Education.
8,Accounting,M.S.,Accounting.
8,Bilingual Extension,Adv. Cert. Post Master's,Bilingual and Multilingual Education.
8,Nursing Administration,M.S.,Nursing Administration.
8,Orientation and Mobility,Adv. Cert. Post Bacc.,Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments.
8,Nursing Education,Adv. Cert. Post Master's,Nursing Education.
8,Gifted Education,Adv. Cert. Post Master's,Education/Teaching of the Gifted and Talented.
8,Psychology of Animal Behavior and Conservation,Adv. Cert. Post Bacc.,"Psychology, Other."
8,Teaching English to Speakers of Other Languages (Alternative Transitional B Certification),M.A.,Teaching English as a Second or Foreign Language/ESL Language Instructor.
8,"English Teacher, Grades 7-12 (Alternative Transitional B Certification)",M.S. in Ed.,English/Language Arts Teacher Education.
8,Childhood and Middle Childhood Special Education: Learning Disabled,M.S. in Ed.,Education/Teaching of Individuals with Mental Retardation.
8,Childhood and Middle Childhood Special Education: Learning Disabled (Alternative Transitional B Certifiction),M.S. in Ed.,Education/Teaching of Individuals with Mental Retardation.
8,Advanced Preparation in Special Education,M.S. in Ed.,Education/Teaching of Individuals with Specific Learning Disabilities.
8,"Adolescent Education: English, Grades 7-12",Adv. Cert. Post Master's,English/Language Arts Teacher Education.
8,"Adolescent Education: French, Grades 7-12",Adv. Cert. Post Master's,French Language Teacher Education.
8,"Adolescent Education: Italian, Grades 7-12",Adv. Cert. Post Master's,Foreign Language Teacher Education.
8,"Adolescent Education: Spanish, Grades 7-12",Adv. Cert. Post Master's,Spanish Language Teacher Education.
8,"Adolescent Education: Biology, Grades 7-12",Adv. Cert. Post Master's,Biology Teacher Education.
8,"Adolescent Education: Chemistry, Grades 7-12",Adv. Cert. Post Master's,Chemistry Teacher Education.
8,"Adolescent Education: Physics, Grades 7-12",Adv. Cert. Post Master's,Physics Teacher Education.
8,"Adolescent Education: Social Studies, Grades 7-12",Adv. Cert. Post Master's,Social Studies Teacher Education.
8,"Adolescent Education: Mathematics, Grades 7-12",Adv. Cert. Post Master's,Mathematics Teacher Education.
8,"Secondary Literacy Education, Grades 5-12",M.S. in Ed.,Reading Teacher Education.
8,Health Careers Preparation,Cert. >= 30 Credits,"Health/Medical Preparatory Programs, Other."
8,Educational Psychology,M.A.,Educational Psychology.
8,Bilingual Education: Intensive Teacher Institute,Adv. Cert. Post Master's,Bilingual and Multilingual Education.
8,Adolescent Chinese,M.A.,Foreign Language Teacher Education.
8,Public Policy,Cert. < 30 Credits,Public Administration.
8,Mental Health Counseling,M.S. in Ed.,Mental Health Counseling/Counselor.
8,Clinical Nurse Leader,M.S.,Clinical Nurse Leader.
8,Playwriting,M.F.A.,Playwriting and Screenwriting.
8,Nursing-Accelerated,B.S.,Registered Nursing/Registered Nurse.
8,Mathematics Education (Grades 7-12),M.A.,Mathematics Teacher Education.
8,Childhood and Middle Childhood Education Generalist (Alternative Transitional B Certification),M.S. in Ed.,"Teacher Education, Multiple Levels."
8,Environmental Studies,B.A.,Environmental Studies.
8,Applied Behavioral Analysis,Adv. Cert. Post Bacc.,Social Psychology.
8,Biomedical Laboratory Management,M.S.,"Clinical/Medical Laboratory Science and Allied Professions, Other."
8,Dance,B.A.,"Dance, General."
8,Biological Sciences - Major 1,B.A.,"Biology/Biological Sciences, General."
8,Chemistry Major 2,B.A.,"Chemistry, General."
8,Human Rights,Cert. < 30 Credits,Community Organization and Advocacy.
8,"Teacher of Students With Disabilities - Adolescent, Grades 7-12 - Generalist (Alternative Transitional B Certification)",M.S. in Ed.,Education/Teaching of Individuals in Secondary Special Education Programs.
8,Medical Laboratory Technology,Adv. Cert. Post Bacc.,Clinical/Medical Laboratory Technician.
8,Adult / Gerontology Nurse Practitioner,D.N.P.,Adult Health Nurse/Nursing.
8,Psychiatric / Mental Health Nurse Practitioner,D.N.P.,Psychiatric/Mental Health Nurse/Nursing.
8,Family Nurse Practitioner,D.N.P.,Family Practice Nurse/Nursing.
8,Community / Public Health Nurse Practitioner,D.N.P.,Public Health/Community Nurse/Nursing.
8,Adolescent Physics,M.A.,Physics Teacher Education.
8,Adolescent Education: Latin 7-12,Adv. Cert. Post Master's,Latin Teacher Education.
8,Nutrition and Food Science: Dietetics,B.S.,"Foods, Nutrition, and Wellness Studies, General."
8,Teacher of Students With Disabilities - Middle Childhood Generalist Grades 5-9 (Alternative Transitional B Certification),M.S. in Ed.,Education/Teaching of Individuals in Junior High/Middle School Special Education Programs.
8,Animal Behavior and Conservation,M.A.,Comparative Psychology.
8,Bilingual Pupil Personnel Services: Intensive Teacher Institute,Adv. Cert. Post Master's,Bilingual and Multilingual Education.
8,Rehabilitation Teaching and Orientation & Mobility,M.S. in Ed.,Education/Teaching of Individuals with Vision Impairments Including Blindness.
8,Dance Education,M.A.,Drama and Dance Teacher Education.
8,Dance,M.F.A.,"Dance, General."
8,Medical Laboratory Science - Clinical Science,B.S.,Clinical Laboratory Science/Medical Technology/Technologist.
8,Physical Therapy,D.P.T.,Physical Therapy/Therapist.
8,"Teaching English to Speakers of Other Languages, Pre-K to Grade 12",Adv. Cert. Post Bacc.,Teaching English as a Second or Foreign Language/ESL Language Instructor.
8,"Adolescent Generalist, Students With Disabilities, Grades 7-12",M.S. in Ed.,Education/Teaching of Individuals in Secondary Special Education Programs.
8,Biotechnology and Public Health,M.A.,Biotechnology.
8,Cytotechnology,Adv. Cert. Post Bacc.,Cytotechnology/Cytotechnologist.
8,Elementary Mathematics Specialist,M.S. in Ed.,Mathematics Teacher Education.
8,Dance Education (Alternative Transitional B Certification),M.A.,Drama and Dance Teacher Education.
8,Human Biology,B.A.,Human Biology.
8,MHC-Human Biology,B.A.,Human Biology.
8,Teaching English to Speakers of Other Languages (CR-ITI Supplemental Certification),Adv. Cert. Post Master's,Teaching English as a Second or Foreign Language/ESL Language Instructor.
8,Educational Theatre (Alternative Transitional B Certification),M.A.,Drama and Dance Teacher Education.
8,Instructional Leadership,Ed.D.,Curriculum and Instruction.
8,"Early Childhood Education, Birth to Grade 2",Adv. Cert. Post Master's,Early Childhood Education and Teaching.
8,"Early Childhood Education, Birth to Grade 2",B.A.,Early Childhood Education and Teaching.
8,Teaching English to Speakers of Other Languages,Adv. Cert. Post Master's,Teaching English as a Second or Foreign Language/ESL Language Instructor.
8,Visual Arts Education (Non-Certification),M.A.,Art Teacher Education.
8,Visual Arts Education (Initial Certification),M.A.,Art Teacher Education.
8,Curatorial Studies,Adv. Cert. Post Bacc.,Museology/Museum Studies.
8,Urban Affairs,M.S.,Urban Studies/Affairs.
8,"MHC-Early Childhood Education, Birth to Grade 2",B.A.,Early Childhood Education and Teaching.
8,"Early Childhood Special Education, Birth to Grade 2",Adv. Cert. Post Master's,Education/Teaching of Individuals in Early Childhood Special Education Programs.
8,"Adolescent Generalist, Students With Disabilities, Grades 7-12",Adv. Cert. Post Master's,Education/Teaching of Individuals in Secondary Special Education Programs.
8,Childhood Special Education: Learning & Behavioral Disabilities,Adv. Cert. Post Master's,Education/Teaching of Individuals in Elementary Special Education Programs.
8,Social Work,B.S.W.,Social Work.
8,Geoinformatics,M.S.,Geographic Information Science and Cartography.
8,School District Leadership,Adv. Cert. Post Master's,Superintendency and Educational System Administration.
8,Applied Behavior Analysis,M.S.,Social Psychology.
8,Nutrition (Dietetic Internship),Adv. Cert. Post Bacc.,"Foods, Nutrition, and Wellness Studies, General."
8,Nutrition (Academic Dietetic Internship),M.S.,"Foods, Nutrition, and Wellness Studies, General."
8,MHC-Anthropology,B.A.,Anthropology.
8,MHC-Archaeology,B.A.,Archeology.
8,MHC-Art,B.F.A.,"Fine/Studio Arts, General."
8,MHC-Art History (30 Credit Major),B.A.,"Art History, Criticism and Conservation."
8,MHC-Art History (42 Credit Major),B.A.,"Art History, Criticism and Conservation."
8,MHC-Biological Sciences - Major 1,B.A.,"Biology/Biological Sciences, General."
